"","Fire_ID","history","rbr","rbr_w_offset","Fire_Year","host_species","total_pixels","host_pct","Average.Recovery","Max_Overlap_Area","Max_Overlap_Percent","fire_area","isi_90","dc_90","dmc_90","ffmc_90","bui_90","fwi_90","recovery","mean_temperature","sum_precipitation_mm","sum_precipitation_m","x","y","median_tri","mean_tri","X","Cumulative_Years_Defol","Time_Since_Defol","window_opp","window_opp_2","distance","weights","subclass"
"1","CHA10_2010_1589",1,562.55,532.81,2010,279,364,76.6,104.52,764973.381643113,100,1.092,13.6,133.5,52.1,93.4,52.9,24.7,104.52,20.86,5400.1,5.4,-83.0726319975474,48.567936821171,0.707106781186548,0.66414675729401,928,2,0,"1","1",0.758115559967227,1,"1"
"2","CHA18_2005_1513",1,606.9,283.7,2005,206,226,91.2,74.98,954810.227397526,100,0.678,8.8,384.4,70.7,90.9,94.2,27.5,74.98,20.65,5181.41,5.18,-82.9194249935863,48.3000851465534,0.5,0.556624494654832,920,2,0,"1","1",0.295926663301177,1,"2"
"3","CHA29_1995_249",1,504.62,238.17,1995,43381,54481,79.6,118.38,129459435.202267,100,163.443,6.8,483.2,72.2,88.9,102.6,21.3,118.38,20.42,4552.43,4.55,-83.561718646063,48.3049507140434,0.935414346693485,1.25687856870723,860,9,6,"3","2",0.377148976692835,1,"3"
"4","CHA52_1991_1021",1,273.85,225.15,1991,1786,2786,64.1,226.04,14118341.139901,100,8.358,7.5,479.9,67.1,90.8,95.5,24.8,226.04,20.32,4457.07,4.46,-82.9552899195438,48.2378533634276,0.707106781186548,0.816748900460798,894,13,2,"1","1",0.272473525566189,1,"4"
"5","CHA7_1992_829",1,275.55,336.29,1992,2428,3018,80.5,225.63,9124349.66486442,100,9.054,8.1,42.9,19.4,92.1,19.9,10.2,225.63,19.94,4535.26,4.54,-83.5514462698279,48.1657252463696,1.06066017177982,1.46220060037386,887,12,3,"2","2",0.501273886025395,1,"5"
"7","CHA9_1990_922",1,636.47,351.63,1990,24914,36140,68.9,94.67,92676888.4354738,100,108.42,17.8,128.7,45.2,91.8,46.9,33.3,94.67,20.18,4552.42,4.55,-83.0754831889328,48.1076349005627,0.707106781186548,0.936304694691505,891,14,1,"1","1",0.421439789964394,1,"6"
"8","COC10_2005_1519",1,563.52,247.98,2005,1191,1191,100,79.33,5939466.64672292,99.9999999999999,3.573,15.2,86.4,39.7,94.3,40.1,27,79.33,20.14,5322.61,5.32,-81.1450723554035,49.4683827787097,0,0.229210789810124,923,2,0,"1","1",0.132350046053039,1,"7"
"9","COC12_1992_485",1,281.43,321.73,1992,2103,2103,100,164.52,10102370.2759808,100,6.309,11.5,167.7,53.1,91.3,59.4,28.2,164.52,20.04,5100.96,5.1,-81.8111750882097,49.6900568417455,0.5,0.538591771938648,869,6,11,"4","3",0.207517060851845,1,"8"
"10","COC14_1992_125",1,515.52,357.42,1992,764,764,100,91.11,1829644.38450324,100,2.292,10.9,195.5,54.1,91.1,58.6,30.4,91.11,20.53,4924.98,4.92,-81.3161844364557,50.4887028215452,0.353553390593274,0.435710127931266,1538,3,13,"4","3",0.199641768260456,1,"9"
"11","COC14_2006_1606",1,613.04,449.29,2006,265,351,75.5,76.62,701632.223473717,100,1.053,9.1,39.9,13.4,81.9,14.6,8.7,76.62,20.16,5381.39,5.38,-81.011907548866,49.2381137580816,0.612372435695794,0.45037407041001,929,2,0,"1","1",0.543681796740391,1,"10"
"12","COC15_2001_48",1,615.39,213.99,2001,507,507,100,70.05,3687521.89911338,100,1.521,10.2,169.8,51.9,91.6,57.5,22.5,70.05,19.94,5543.55,5.54,-81.1457318274209,50.1327423311834,0,0.225594934959227,849,2,0,"1","1",0.139313480734285,1,"11"
"13","COC19_1997_521",1,595.18,386.32,1997,16532,18681,88.5,97.4,63013988.1454043,100,56.043,11,158.8,63.7,91,65,23.5,97.4,20.24,5396.11,5.4,-80.4649402637194,48.8880843575876,0.612372435695794,0.588409007347535,873,8,8,"3","2",0.453194975437497,1,"12"
"14","COC23_1995_1273",1,536.92,265.45,1995,44889,44913,99.9,84.98,188940392.373745,100,134.739,7.4,231.5,49,88.4,61.4,18.8,84.98,20.49,5213.33,5.21,-81.2797307208751,50.2539946138938,0.353553390593274,0.363593699219373,905,2,14,"4","3",0.17405078991239,1,"13"
"15","COC24_1995_496",1,577.56,308.41,1995,5521,5527,99.9,74.71,19480959.113385,100,16.581,7.3,251.6,54.9,88.8,67.4,18.7,74.71,20.02,5184.6,5.18,-80.9161430628005,49.8172159941799,0.5,0.533239584481663,871,2,14,"4","3",0.213860720286272,1,"14"
